time_cx,average_cx ,std_cx,time_oh,average_oh ,std_oh,time_oxo,average_oxo,std_oxo
0.751958,1.5125,0.548292805,0.762914,1.3575,1.127486142,0.762914,0.825,0.563707962
1.50392,5.9625,1.595501489,1.47815,3.1325,2.048957052,1.47815,2.155,1.499033022
2.25587,8.525,1.683498342,2.24106,3.605,1.971539162,2.24106,2.538,1.545618323
3.05483,11.0175,3.240765085,3.00397,4.435,2.652954328,3.00397,3.03425,1.798949392
3.71279,12.935,5.056932535,3.76689,3.682333333,2.065121385,3.76689,3.378,1.974545349
4.69974,15.43,6.775300116,4.72053,5.85175,3.478547434,4.72053,3.99675,2.285779717
7.61358,22.06,5.80457291,6.24636,7.03925,3.558470025,6.24636,4.77175,2.625040746
9.2,21.39666667,6.283632177,7.62914,7.26175,3.544330532,7.62914,4.88175,2.611965847
11.2324,22.88875,7.549907608,10.1563,7.975,0.183847763,10.1563,6.075,1.407142495
13.3473,23.15,5.003976752,11.253,7.383,3.521712557,11.253,4.9855,2.611232978
14.9922,23.80466667,5.878695462,13.3033,6.276666667,3.082381763,13.3033,4.555333333,2.940533512
18.9869,27.1855,1.110864753,15.0199,5.472,3.882723335,15.0199,4.27825,4.099451564
22.6057,23.223,4.950109022,22.649,6.295333333,3.090265455,22.649,4.567666667,2.941037459
26.6475,25.28666667,3.444957087,26.6066,6.305666667,3.096483987,,,
29.4674,23.259375,4.973222067,,,,,,
32.3342,23.88366667,5.903229462,,,,,,
35.295,21.82725,6.653521258,,,,,,
