time_cx,mass_cx,time_oh,mass_oh,time_oxo,mass_oxo
0.75,0.75,0.76,0.70,0.72,0.45
1.46,4.25,1.48,1.60,1.48,1.15
2.26,8.25,2.24,2.60,2.24,1.95
2.96,10.75,2.96,3.35,2.96,2.55
3.71,11.75,3.72,3.90,3.72,2.90
4.75,13.25,4.72,5.40,4.72,3.80
6.39,19.75,6.39,7.40,6.39,4.75
7.75,20.70,7.77,7.75,7.72,5.00
9.31,21.15,9.35,7.82,9.30,5.06
10.72,21.24,10.73,7.85,10.73,5.08
12.17,21.32,12.25,7.88,12.25,5.12
13.63,21.38,13.68,7.90,13.68,5.12
21.24,21.40,21.22,7.91,21.22,5.13
23.40,21.40,23.41,7.91,23.46,5.13
26.22,21.41,26.27,7.92,,
29.23,21.41,,,,
