time,OH-MINCH,MINCH,oxo-MINCH,cx-MINCH,CHDA
0,0,0,0.001396946,0,0.001636932
1,2.775942816,0.307573319,0.693861639,0.402952352,11.76026241
2,8.320366237,1.799052322,2.481351845,1.715405312,20.21774245
3,14.24461624,2.853623112,4.584206394,3.347791008,61.0319042
4,19.69800068,4.272611675,6.557956084,5.016185213,74.29105033
5,26.50652279,5.568319318,8.673202897,7.515918701,116.6330149
6,38.9747595,7.648684865,13.37167348,11.42669987,173.8437751
8,54.64167332,9.31368491,19.62086691,16.15796062,266.5895925
10,63.16725038,10.39868281,23.028364,19.97028996,340.9335703
12,64.69409355,10.46593696,23.538009,20.50254072,347.5413176
14,72.75701348,10.78671895,25.74833828,22.60732375,372.5045248
18,76.59930638,10.9387759,26.71350788,24.0621675,384.1267393
22,90.74169031,11.21678696,29.76621069,27.65444484,427.178041
26,91.85803721,11.26575339,30.1068853,28.21572032,432.961866
30,93.29525922,11.3251924,30.54129048,29.19309411,441.6376036
34,94.5330163,11.40097715,30.83802888,30.1569647,446.5483985
38,95.071788,11.42413949,30.96750926,30.49704506,449.2220535
42,95.91800282,11.44951901,31.19237252,31.22578867,454.4602346
46,96.66123913,11.46853006,31.3526458,31.81592811,458.5525637
70,96.97614447,11.46853006,31.45396195,32.21316482,460.4623173
