time,ave_MHNCH,std_MHNCH,ave_MINCH,std_MINCH,ave_oxo_MINCH,std_oxo_MINCH,ave_cx_MINCH,std_cx_MINCH,ave_CHDA,std_CHDA
0,0.007489514,0.014076198,0.001202174,0.002404349,0.009041698,0.013051065,0,0,0.021880013,0.020660437
1,1.936144063,1.255362157,0.275070603,0.190134656,0.880771223,0.71712399,0.325841546,0.262282523,24.52326116,19.34820718
2,8.485120271,2.911374462,2.252758632,1.290224599,4.376632622,1.97004685,1.409490802,0.623898863,60.78123841,31.61936202
3,15.27602601,5.787147077,4.575813345,2.670714229,8.318645932,3.25324194,2.917862693,0.970700201,115.4841472,46.66252693
4,20.71454881,6.893626086,6.304299862,3.672233546,11.31086313,4.692432423,4.477068889,1.452589321,163.1934195,93.41416358
5,27.11083046,8.861962152,7.838847118,4.260138347,14.13659838,5.481127935,6.240957444,2.020782067,218.2408697,122.3690458
6,34.43215552,11.08611796,9.23918145,4.485680766,17.49520562,4.753755709,8.371948768,2.884121817,263.4592145,142.3100025
8,44.81368588,14.35819651,10.44284146,4.574699185,22.51589844,4.378375006,11.54525735,3.91779714,331.8697957,150.5181366
10,53.59056836,15.04661572,11.40786218,4.237191588,27.36041762,6.140592725,14.35268173,4.359401986,411.6463893,188.9611493
12,63.3337233,20.81283564,12.05197425,4.549918873,31.78664461,7.246346164,16.43056649,4.323200224,451.9237261,201.042739
14,70.08395361,22.84972687,12.50372468,4.43515332,34.89300579,8.389198678,18.00160812,4.789934093,487.0005475,219.7146516
18,79.51477387,24.69707839,13.27603114,4.660910868,39.80488176,12.2727228,21.32264835,4.440287163,537.9854238,256.6692615
22,90.15563318,28.08968111,13.61839621,4.479589638,44.10576552,15.4855887,23.97749034,5.161092804,572.790204,250.4053037
26,95.5294443,29.48608597,13.88000412,4.49613716,46.7246022,16.92939942,25.78733519,5.538967089,602.4097046,250.9863436
30,98.47439492,30.21399366,14.03667332,4.508257732,48.1053163,17.52732799,27.06703654,5.588055917,618.6665612,255.0890298
34,100.7048321,29.86212547,14.17079815,4.554442915,49.35836038,18.27599599,28.14702262,5.318659736,632.731386,254.9279778
38,102.3396638,29.73687164,14.2396318,4.566935861,50.33053711,18.93094436,29.23406774,4.966408505,643.0773434,256.758446
42,103.9103594,29.85349331,14.27144892,4.596476651,51.2840161,19.37589544,30.00803521,5.062340493,653.6737621,260.1596694
46,105.0130396,30.12450973,14.32081761,4.608520108,51.76017644,19.60839704,30.56517267,5.051598382,658.8694858,261.7283222
70,106.4121739,29.93546883,14.32081761,4.608520108,52.73123357,20.52692696,32.1426647,4.867313025,670.7285641,259.4045241
