time,DPHP,MPHP,OH,oxo
0.25,9.014,0.652802,0.001,0.235562258
0.5,9.9154,9.79203,1.1,0.235562258
0.75,15.3238,15.014446,4.9,0.235562258
1,18.028,18.278456,4.3,6.063699173
2,15.3238,23.500872,8.8,14.55826997
3,22.535,120.76837,44.3,59.52469743
4,156.8436,182.78456,34.2,55.37609428
5,274.0256,280.70486,56,179.3640949
6,292.955,166.46451,77.9,119.2928496
7,575.0932,103.795518,70.8,97.39485332
8,455.207,86.169864,47.7,80.35982567
10,243.378,43.737734,30.1,43.37158069
24,53.1826,6.52802,0.7,5.835174366
